,material,durability,skin,name,category,tier,npc_sell_price,id,stats,unstackable,rarity_salvageable,salvages,color,soulbound,glowing,requirements,museum,generator,generator_tier,furniture,item_specific,description,upgrade_costs,gear_score,dungeon_item,gemstone_slots,dungeon_item_conversion_cost,catacombs_requirements,enchantments,hide_from_viewrecipe_command,sword_type,ability_damage_scaling,origin,tiered_stats,motes_sell_price,can_have_attributes,crystal,salvageable_from_recipe,rift_transferrable,salvage,private_island,cannot_reforge,lose_motes_value_on_transfer,prestige
0,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODM2MDY3OCwKICAicHJvZmlsZUlkIiA6ICJiYzRlZGZiNWYzNmM0OGE3YWM5ZjFhMzlkYzIzZjRmOCIsCiAgInByb2ZpbGVOYW1lIiA6ICI4YWNhNjgwYjIyNDYxMzQwIiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzk0YTAyZTFhNGRjZjdhNjE1NThjNzljZGFiYjRmNzhlZDM3YWU4MmY5NjU1NDFiNjEyYWYwODhjZmNmZjJiMWIiCiAgICB9CiAgfQp9,Mandraa,REFORGE_STONE,RARE,1.0,MANDRAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODM4MDA4NCwKICAicHJvZmlsZUlkIiA6ICIzZmM3ZmRmOTM5NjM0YzQxOTExOTliYTNmN2NjM2ZlZCIsCiAgInByb2ZpbGVOYW1lIiA6ICJZZWxlaGEiLAogICJzaWduYXR1cmVSZXF1aXJlZCIgOiB0cnVlLAogICJ0ZXh0dXJlcyIgOiB7CiAgICAiU0tJTiIgOiB7CiAgICAgICJ1cmwiIDogImh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYjU0ODY3OGU0NGY5ZjYyZDM1MGMyNGEzZTAxOTA3YzA1NDViZWY2NjgxMDU5MDMzM2U2NTRiZDkzMWMxODdkYiIKICAgIH0KICB9Cn0=,Furball,REFORGE_STONE,RARE,1.0,FURBALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODM0NjAyNywKICAicHJvZmlsZUlkIiA6ICI4YjgyM2E1YmU0Njk0YjhiOTE0NmE5MWRhMjk4ZTViNSIsCiAgInByb2ZpbGVOYW1lIiA6ICJTZXBoaXRpcyIsCiAgInNpZ25hdHVyZVJlcXVpcmVkIiA6IHRydWUsCiAgInRleHR1cmVzIiA6IHsKICAgICJTS0lOIiA6IHsKICAgICAgInVybCIgOiAiaHR0cDovL3RleHR1cmVzLm1pbmVjcmFmdC5uZXQvdGV4dHVyZS8xYTE1OWQ5YWMyZmRiMTY0ODU4YjYzNTBlMDNjMTkyNGYxN2U1YWE4NjExYTM0N2Q1NWI2Yjg5ODIwZmFmMDk0IgogICAgfQogIH0KfQ,Obsidian Tablet,REFORGE_STONE,RARE,1.0,OBSIDIAN_TABLET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SKULL_ITEM,3.0,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTMzODM0N2M4YTg0NTY2MDJmM2JkOWFlNzhhZDM4M2E3ZGU2YjU2OWJiNjBiY2Y3ZjdiNDM0NWYwZWY2NDA0NSJ9fX0K,Beating Heart,REFORGE_STONE,RARE,1.0,BEATING_HEART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODM5Nzk4NywKICAicHJvZmlsZUlkIiA6ICI0MjEwNTYxMWQxZjM0NzAyOTQ4NjE3OTYzMDY3NjY2NCIsCiAgInByb2ZpbGVOYW1lIiA6ICJUcmlraXRyYWthdGVsYXp6IiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzExNzYwZTQyZDkwYTc5MDVmNGYwOTdjZmVkZDY0ZjUwOGRlZDUyZjMyY2M5OTFiYjViZTQ3YWJlZjZjZTY3OGQiCiAgICB9CiAgfQp9,End Stone Shulker,REFORGE_STONE,RARE,1.0,END_STONE_SHULKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SKULL_ITEM,3.0,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvMTllMzE2YmE0OGU1MWM2ZWI3M2NiMDY4YTJkNDY4ZjY3OGVlZDgyZDQ1MjlkNGIxMmVlYzhiZmE3ODE5YWE4NiJ9fX0=,Acacia Birdhouse,REFORGE_STONE,RARE,1.0,ACACIA_BIRDHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SKULL_ITEM,3.0,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOTdjNDAzNmY4MGJmMzYwOTE4MGM3YzRhOTU2ODg1M2ZkODE1ZjE1NGFkODQzOGI5MmYzODUxMDE5ODM1YjA3MCJ9fX0K,Dark Orb,REFORGE_STONE,RARE,1.0,DARK_ORB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODMzMjY3MiwKICAicHJvZmlsZUlkIiA6ICI5ZWEyMTQ0NGFiNjI0MWZkYjg5YjE2NDFhNDg2MGZiZiIsCiAgInByb2ZpbGVOYW1lIiA6ICI3QUJDSE9VTiIsCiAgInNpZ25hdHVyZVJlcXVpcmVkIiA6IHRydWUsCiAgInRleHR1cmVzIiA6IHsKICAgICJTS0lOIiA6IHsKICAgICAgInVybCIgOiAiaHR0cDovL3RleHR1cmVzLm1pbmVjcmFmdC5uZXQvdGV4dHVyZS9iODQ0NDIyNGFmMmNkNGE1ZDM5MDlkYjc3MmM3ZDBjOTViMTIxNmMzYWMwMTlmNGEwZTdjZGJiOGYwN2Y0MThmIgogICAgfQogIH0KfQ,Ender Monocle,REFORGE_STONE,RARE,1.0,ENDER_MONOCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY1MDAyODQxNjk4MSwKICAicHJvZmlsZUlkIiA6ICIzNmMxODk4ZjlhZGE0NjZlYjk0ZDFmZWFmMjQ0MTkxMyIsCiAgInByb2ZpbGVOYW1lIiA6ICJMdW5haWFuIiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzQ2ZWU3ZTkwNjY4NmFiZDVlYzE5MmIwNzkzMTRjNDVmMWZiODE3MWQ5ZTEzY2FhNGNmOWY2M2FmYzIyNjNmZDUiCiAgICB9CiAgfQp9,Scorched Books,REFORGE_STONE,MYTHIC,1.0,SCORCHED_BOOKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SKULL_ITEM,3.0,ewogICJ0aW1lc3RhbXAiIDogMTY0OTQxNjQwOTAxNywKICAicHJvZmlsZUlkIiA6ICIyYWQwZDlmMGUxMTM0ODM0OGVmNDQ0OWRmNTRlYTFkNCIsCiAgInByb2ZpbGVOYW1lIiA6ICJGaXJlQjB5IiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzVlNDQyODBkNDJkYjA3YjAxMmViNzZkZWU3MzI0OWM4NmZjNzEyZThlYjE0ZmEyYjQ0ODQ3NzE0YmJiOTVmODMiLAogICAgICAibWV0YWRhdGEiIDogewogICAgICAgICJtb2RlbCIgOiAic2xpbSIKICAgICAgfQogICAgfQogIH0KfQ==,Eccentric Painting,REFORGE_STONE,LEGENDARY,1.0,ECCENTRIC_PAINTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
