,uuid,item_name,tier,starting_bid,item_bytes
0,45282ab01fa04c5eb8f97a236629d968,Hollow Boots,LEGENDARY,430000,H4sIAAAAAAAAAF1T7WoTQRS9aVpNtkKLoiKijGChJcTmY/PR/utHbAppA21sEZEyu3uzGbrZCTOz2LyBD+Cvon/tG/gAfZT4Fv5Q72zSKoXd4c6ZM+eee2fGAchDRjgAkJmDORFkihlY2JFJbDIOZA0PM7D4LvYU8nPuRZjJQr4tAnwb8VDTpt8O3A+EHkV8nIf5jlSYI/Q5PLq+ahwbhXFoBpvs+sovlGvwlMAdJQzb5UMe4gwvrcBDWmgjj6ZcXihXSym2i32MNU5BtwTLVnWEGEwRYlnJ/dhgFIkQY39GbdbgJQXND/RPLr/Q+PHOlEw+ub7yWnGAih2hFtpw2s72T2CFJPcUj41OteqTb5/ZzAgBDR5yEWsDzygeSk8zEVteb4CM1Ah8Aw4ppzbZCbz4X61fqNQmX7+zdDGlgiU0ewIVsbdlnOhNWhW2SauldXcNCkRrcX/AzkUUMW/MxjJhUjHOFPoYm2jMdDIaSWUwSMn2KKim8CanX7auqTz/nMk+xfWpvq2/Prn8YW3Y5qwe8AtWLa1BlhAo0XCT+XYLI/o/MZ/HzEOWaHLONazSgj/gKkTWJ39mYLtVp68to0h+ouKk0WnNaYIiDR1JLS2zqRzvG7JNfl3rukFWY2mYbbaIQ1i0nZ8ybdNYaq/ZGwjqv8HhjRmFlDvE4BU8TpNHndZe63B36+g92+52e8dZWPBlJBX8/PMrB/OHfIiwdMcjOLDUujCKbxmjhJcY1A44/HaShWW01+ZM3V4bcjRP0toeK8ULkLNPCR60u51O9/RsljrvSa3PDJ215VP6JCHSa84Dt1zya8V+UOFFl7vVotcMNoqVjaBacT2/72IjB3kjhkjZhiNY2lgvu+uVKnM3K022dQAwB/emT4qE4S+MGhEA0wMAAA==
1,2ba86c977c0d4024be07817c1debd93b,Light Rotten Helmet,RARE,19000,H4sIAAAAAAAAAHWT227aQBCGhxBSIK2i3vSgnjZVqUIpYGMTDneEkBApJwHpLVrsAVbYa7pemuZBetvbvESv8iR9kqpjDD1JlSzZu/PNzD/jmSxABhIiCwCJDdgQbuJdAlLtYCF1IgtJzScJ2L6SI4V8xkceJpKQ6QoXjzw+CcnpRxbuuSKce/wmA5ungcI03T6Bl3e3tWPkivUdumuyu1u3Ut2nV33PNu08vCJ7XyuUEz2NrE7BtJbWQsUs1cw87BHQVkKz9pRLB2OmkqNXg5hcfgXn8lBYk4fc55MVaa1Ia01WS4ZJcJngg0AuQtbSmjsz1p8juv/xoY+lji5yL5bJC2bNjinTWGtoGKVqPQ9viTzEMcoQY7RireKtw9VLNlX2Oip9nZUX/oEinXlqoUm3xyq41lP2gT7fR9SlCjQ6WgTy991gGigZspOTE3J6QaEHUxEyAjVKNhfoIAvGjCs/UEvzRHGpQ/JEsxrVW5vJwJmNqBWwSyeFoQh11HGmA3IjBSGbo4pDQZqQa0pYomRU7/7RwvNYHzVb9rTJ+gI/IR3cmyj0nlGmX/08GgUuJOP0uK6I9HMvUlAxcpEm/FMF+0sBZMkWq4hSUusqy/qW9azKo+NCushd9v3bl12inlJb7m69XqvXYYdX58edi3PW7ZyedQZJSDmBR534Ok+mYfOc+wiPiD4Vk6lmvbhpXfR81JCFnc5nrTjNiRKjhcYwDQ/dhZxgIIfhTHjeUOFH2G63Bq32xdlBv2km4fGIh9jXXB8EQagvUTkoaYeQVD1LQ9oPXDEWqCDlRRnT0cLBg97FYNA5H8YSs3AfpUMzr31yDZOwpZd/mCIkk5Cd/xoBukiRdbKckegAVNFiQQHfGFWjWhtXx0XL4rWi7RhGkVt2o1g3uVvl9r5lWJz2WGj0hzqSQ8ufhowWPlLn/TnsNMqmXab5tZuWzVpnABuwFa8XsfATuSEYJjUEAAA=
2,f794a6f969a3426aa55cabab98eb533b,Bits Talisman,RARE,13700000,H4sIAAAAAAAAALWU3Y7iNhTHPR/bMkjV9qIPkKq7d0XrhASGlXoBhI9E2CkkkIlvKifxgBMbEEkGwjvsc8x7zINVNay27QvsXezz9Tvnf+ImAA/ghjcBADe34JanN19uwLvhrtqWN01wV9L1HXiY8pSNBV0XyuvvJmj6eSWEd9yyQwPcOin48EzThNFn2kr0Lm21TQpbj1a31+owo9uGBuwwi6m4Pw+7PTuUnBUPoFGyU1kdWHEt3QDvVlRU7M5mtQvJ0wamT65IaqejzoEPhedk+64jRe5kO06CpU7sueXZbh5l6xO2N5kXrNtYjgWxlyY+Lw1lh8rGZ0MXsqeBuMQtYekG3Cmc7aqOh07HkarOtN+Z1b3/1bRKGloiarsbsp1XsVzBWXsh2HShJ3L5guSKR+GCoyCpcTjeeLY6Z46JgkGOJk4bGa7EBs7xeaHYcO6Fc5NIZKAQwciILMUOkbHgkYFOXpCfPDvNovrCNKhjg+zjycolF7YMQW+y1NHZgSjIa5ItMhIMeHReSRS4ucppEnukbP2Tw488nazMdLqqyfLrjL4Pp9t79o88Mcp9zK/a7K+scqnjcA6VBjWZXGrMzeicKx3IhoRz3bMTHcs5xMp2ZZ2KI/FVnMAzf2leNFKzPXKPu7t0ujh6/PHl336eUBWHoiIhrqOQwJm0RDr8T6/Z2RWRHKseRm2UrTZRsNYj6dSePToSe8DxGXOSpRmxE6jYzsQWuTchGc7GGZ5g6YWK3cZ5JHGm5mwhtUeq5wvTMZE9ScOT8MO5YnPOas8EDlCN7ZGFZKTmtDxGEukkG6m+SeZN5moXR0fkX/T8tjPf9Pw+nBc9ImN8nWe8XRXxFP6h/qgm+DHlxV7Q+gHcz3YH1lCX9+C3t9duuGFb9sIOWr2rtDXlWy3mZfG7tj7QbVlo9Or09hrr8KOmvpIN3SZMK3dffdNdFQv2q8r2y9tr7+1VLPqLkdYfDke+7y2iBrjHVDLwszIOVFotoIIXkm4V0fvRqTzQflkeeFyVrGhc3hvw08AJ/L+C/szxUR+r+KpStx8gNGGa0HZLN0yjZRrqXelZcafFOlbv8fnZZI9dvQEeSi5ZUVK5B+87nwzzk9HWOp/butZHANyCH2wq6ZqBOwD+AcIIGrrpBAAA
3,6ddbb6ca35e34cf7b610da2d73ff19cd,Light Bouncy Helmet,RARE,600000,H4sIAAAAAAAAAHWTX2/SUBTAD2NsgDPqi8bExKtxOob8aSkUeAPGxpKNLWMz2RO5lEN7s7YXb2/VfaI9+SX2wdTTwmZi4tM5Pfd3/p8WAQqQEUUAyGzAhphn9jOQG8g41JkiZDV3M/DkKpwp5Dd85mMmC4WRmOOhz92InH4VYXsuoqXPbwuweSIV5sn6HN7e39lHyBWbOGTrsvu7ecOuk2jvGXXTLsE+AQMlNBt4PHRSwikb1i7Jzl7Z3C2lbGIpQfmBPeABd9dsY402HtBO1WgSXCO4L8M4Yj2tuXPDJkvE+X98SIFP5DBC7msvgXjZtM0VZdTXVNvsVFsl+EjgAS4wjHBNNtbh1pxdpxJK8J64x6S8/A/USRkAg6xHSn7XHvtC6ueEOldSo6OFDP/aLj2pwogdHx+TE02tdRj7PpugZmmXXRJx6IjQZT1F4cjF3qvXrBK8Ie1axorxxB4xj39DxukdzeYuvCNJgJNOn2nJZkmYVOOh1B6qtA/NlUup+EKjYrQBT+iIRTJA7VHKKpX0mmq8v/MvehdDdnA1PhqejdloeHI6vMxCzpG+VPDzdy0Pm2MeILwk+kS4nl6VfctG6FMwKMKz4Q+tOO1MiVmsMcrDi3kcuijDaXQjfH+q8CvsDHqXvcHZaX/SNa0svJrxCCea676UkT5H5WBIJ4tUVjUP+UDOxUJQJzk/SZlP7hue9s+uxoPr6arGIuxgmAxBB+QaZWFLp/OmCNksFJePCyFDjl7ddGPJB1BLcUwBPzQ7Bl+0WkbFRG5UrKZlVdpGY1Fp1Gdm21y0sYkL+m2ExmCqk3IAtvNQ0CLASPNgCc86NcOq0TVZXctmvVOADdha3Tqx8AfNse0rpAMAAA==
5,fdf127b0b2814117b7fb18dcbb2af76c,Accessory Enrichment Swapper,SPECIAL,240000,H4sIAAAAAAAAAD2R0UrDMBSGT7epW0F2JQgiRvS2bmt1s96VWdlgG2MbeClZeuyCbVKaFN17+A59jz6YmCqaiwPnP1/+/5DYAB2wuA0AVgMaPLI+LTgYy0Joy4ampnEHWijYDurThM6ER/iU0FiZ9suGo4irLKF7Q81kjm2o/U6qclSV92MpVJFiRKQghUJoGhlOTVm/00wRmiSkKn0UOWc7jODKNGZIGUOlZM5RES7IXhY5+dP2cG6ILY2JloQKqXeYk1+DFIW++Y24+InHFY932mEJZ281LjMUxFDFpdnxuCpZVSbrZTieBrM2tBY0xfoiC/6iSPjvS+qFM8zBhm74oXMaaJ3zbaFRtes3g7NNMJuu58HiJVyspuPJPFxsXtbPwXIZrox5URjm2vOjwcjr+86QMurc3rtbZ/t65zpDf8Re2Z039Jjbho7mKSpN0wy6fm9w23M94j70BySYAzTg8JGmNMb6M74BgeVlcLsBAAA=
6,ced044a85d884c2b8ca0e26df17cbe2d,Runaan's Bow,LEGENDARY,1449000,H4sIAAAAAAAAADVS227TQBAd101JnKJIpQ88oamg4gGVpnWaS9/SCxCphNKkIJ6qib2xV9hrs15T+kX5j3wYYtYOfljvnDlzO7MeQAsc6QGAswVbMnQaDjQus1IZxwPXUNSCbaGCGOznQPteLbSgn7RIhONC65MMxYeEooK9fz14FsoiT+iJg24yLZqM7sPeejW4opQicY7rVfDupN+FF4zNjBYqMnGNnnWZ/Hy9Gl3GpAKBk8kE2tYsF7JI8ZtNM7rSFGUK55oCoRmzBC6fWjp02JikOSVSRVX4vgXUUippBH4t5e8qxta4lUIHFQ08a2aPlWuX7zMl87o6wMv1qj9eyESap3MuKvNE4CzODMJr23+cZaZAH0nr7LFAMkhoZCoOcB4LPIVDJok/RtN/Rigo4WGp1z3k3yBbookFvOJrWOmDpEKMMx7HZGhIR8IU77kPS16vhvNYFsizpBiQwoVALZYZk8IDq2d/vUpurj9eT6/Gdz/w4sv3JmxPWRqrS/+uVETqbYEX2SN40Lm2bY2N0XJRGlE07eqhfXc/HY+nswcO9mDXrp2USYUyhQtNuZGW+3Fd2AmqNdVGM9/oad+ICx25Ef3hVyU6ow0XGoVVtg5o5FbxDb60C+T7ls1abbt27JBM65wN4FnKklt8Mxj2hE99/0jYozcciKNhr9c7CkbDYOD73e4g8JvQsmsoDKU5dEbHJ6fHpz6enJ8N8fYz14Gd+jnaJ/0Pwo/R6AEDAAA=
10,3fa8858f18f747538d3a8136af2630f7,Treasure Talisman,RARE,390000,H4sIAAAAAAAAAFVSy47aQBAc9hXgsoqU3CLFkXZPkbN+A5Fy8BoW7MV21tiAfYkGe2IPjG3kx7LwD7nlH/gPPizKQHJIDqOWumuqq7q7DUALNHAbANA4A2c4avxogEstr7Oq0QbnFYzPQWuEI/RAYFxS1K82aE9WNSH2JkNFE5zpEbjphUK3IykSy0NOYUWEIrbb60isEoWhzPORIi4E+u9rka9RUWFUtkCzQi9VXaDy1LoJLqeQ1KjxE23yWNcMDs54EopOspirWO/nsel6suWueHMX89ZS5czJ5lHXVByOjOcgJWXgkZWOVUXXdJFitsHQSf3U4+y+x1nudGn3dT5Yrjbm0JfsYbAyd0Zqa3qpYTXWs/vtQgjWi+HU9mnfPzyGFM42eKye9OzgLKr9ucOH6XQSzB94ODdIoOmxje+5MJuSvzgumCdcRGvh9lTrnPipTo+rDBf/lzviKd/m5E9P6b+Rqoy3vX845ArOZOKLRhJkT/UinXJj0SFodNThPZu7h9Tc6RuTejPdpy2dj2Du6OubW18waT6WAtdI/J0pWP1YDpY65wtBYs08mc4nMV2LUMyLL/iCPfNFS/A56unxpG3E0Xjf0zLuC91QG7yKcLkmcNsCF+O8QE2avAK3h31nWMCsKpnDHn7kb2no0MUWkCF5XjFVzqAsAm9pNv/ORHUWozxjwgSVVfmJMrw/7JGD46RiQ4LD1RH/jNGGKVCI16j8QCHvDvveYU8c1Rkwfc8aDmyLUTVtMJnYjt8EFxZMEXhDQW6BYEkvinEhwWUKMyr6enDUolZVgRd1hcrm8cTBa9cZqBPPGXxz1bE+MVWL8tQ1rdws5B5cICSxshR1WClEIdsNu5CVZbHH812kiLzSBK0Kp9QCTNfgunfHS3eCyIifRYFRTQDOwFUfpjBG4ByA38mJN6VgAwAA
12,9c1b4d5f853a4a5d8169ac122c6d330d,Glistening Implosion Belt,EPIC,688888,H4sIAAAAAAAAAF1Uy27bRhS9spNW1iIpsmjRICiIwkEbBHIoUpRM76gXPaoo2XqTm2BIjqiRhqRAjixLX9BNP6Fr/4c+peh3FB1KipF2QRI499xzz5zhTAHgAnK0AAC5Mzijfu6PHLysx+uI5wpwznFwDhe31CcthoNUsP4pQGGwXDPW20QkycMZ8uHSw3qpcl2dFWdeVS6qil4uuirGRf265LoKJiW17Iu+uyRekYRTkl5AnpNHvk5Iehidh5djzNYk9zfZxAGqt2U8KTFP7c/dqUFRIw6soS1bO3tjLZDWGxqKNdj8huoG9W7bD07IUmfElogaFVRHsjO0Ns5itHGGPrUnI9lS7J09cZZW2FS7jdHWVsbUGSLN3qK0To0ARbWtqzgr1xz3bDH3qNOe+abO7Wn/gbBr2jEOvnZ44q8FVvLC8cCZtkp42mZOHQU9WpO9aMxOPNmZzmVf1LztoVY9zBF+RzJvD+l/sIwv9DaHdaJQ9N0alc5W/0pD43iiMVttz53ofu2GY7mj9hm5zXyMHpxFS6wNbayds3QattI127Q3rC16k3u52+gurOFS65kO7Q6RYu2WZXsiMjL7S2eC1N4ElbsN49FeNBV7weZd8/7RMttz60s2R3/cmfbnjtmS7cH/vYsnLD045jg95bZzTcZREJ/qNf3IPX5n9ytd7HgBvvVpumJ4ewEvOnFC8gL8Dt7sn6oNMiNRSm6k/RP+WJXhJ4GhiBPGaEAi71TQxFv/9aP2AX4WdYtGNAqkVpzwdXRilOQjpSR/ENo/7J/cGsO7jNYnKU05FloSgl9Eu5ngiKfHrivtrz9/l04mBFTFAaZRyg8+wthNJRplzHpCwzSOJJQyIipX8FpMaD6KH5ySo3JmzMRHtnDxXjoIJEQizyx4K7A4EaKzJA6lJRWLFAazMVfC9I/7p4rhUkb59kaqx1EaM+pjTnwJLkXjIRgvITglqYQZy4RZnFLhyschDgh8Lyg+wYxL7jazoWjvD14hc6vtn1jzDtWlWrMzzMOLLg4JvBO4yUQ85JAoCr8o1gjjYtteNx95gg3OE+quOUnzkA9jn84oSaAQPDeK046fOefwxj1G/zl5jj479udQ+CoLAUA+u4PgFbLuOr0B6nU/n7yt1wK+xFqlpFTLflHRPaVYviZq0Z2ps2JF08qyp2vliu7l4YLTkIgh4QpeVT6pnxRFqt6Uy5JhAZzBN41jNOcA/wJ19pd8/QQAAA==
13,b8ee33701e0a4e1d9b28c8494ba745d5,Blooming Lotus Cloak,RARE,1900000,H4sIAAAAAAAAAF2Ty47iRhSGi+6ZxJBImawSKRtH6sWMWqR9wYB7B6ZpYLAZrsbeRGVXYcqUL7LLA+53yH4W2fMePEoeJEoBHSmTjcs65zv/f+pUVQ2AKqiQGgCgcgNuCKr8UQFvjaSIWaUGbhkMbkF1QBDuUxjknPq7BmrzXUHpZB/jTAA3QwTusNf2IJI3dR81lLqq6bDuNZFS9zZaU9WVtu8rTV73KUtSnDGC8yoQGD6wIsP5xVoAb1eQFrjyJ94nwdAYSdCWqa/Ott66Q4a9JDAXjmKGy70ZBi9mz1EsY/9xaHSIPxh9diOau0u6G5JOk9cSa2Fq1mJXmqG5d5ShZEZP0sR2NGcxo07kHKxoRicLZ++QYW6QTjCMu6WnuKn3vJo43PdVhznrUerY2taN+vGQvPopNPaivoTWI7qMVgdk09K1p5ce0WAku/Mrh55XDTRYle7avOSu++Je1BrPl42vY2d+PcpffRM0mO0npP35PxqFZ9PCta3SsV1pHGkUGbrkrreXPsbKilq97s568RUzmpZOiLa8J9nt7UrLnh4sxVGd0ArNxVQ27aVq9mjIZ/liKU+ytZgqTtgP3YVLzedpw7WXpfWyVN3elFxmY3T187qZpjo/qRr4FpE8pbCsgjfjJMMCD34PfjwdWwMMKds+iqcjvJcl8BMPzVOM0TWi8a/+/l77AH7liT7MIhIHYj/JWBHjK9K+IuoHLvnL6dj8RLCPxW4SF/mjOIcU5/z25EkM7riCkUQpxQyfK59hhnAsrkhOWJKJk82Gc+A9z3CQJWIAScy55l9fvoj/c+bAb9zuZ75+Zcfp+xbngcIzFr+q4jINMojwNdU+S52O7bOHLEmceTgdfVnjf+1z++/4Tk5HOuvMnkRjPOl8FMAbC0b4PBW9S5Pk0sM4YUUuGjSBOz7YH54OLIMdxjLiFQznAhCiBJENwRkQvNca4fxGwXfjyWI5//1f5aLgsTvfVzHSGnq9pUlSvaFL7Xq7BRt1vJGaiL9CVW5JAqgyEuGcwSgF75QHWXtQVFGWHqWG2DEBuAHf9GAEAwxuAfgH2AtUGBwEAAA=
14,2ff3e1fe0eed42799e1f6e2413d7e47c,Terror Boots,LEGENDARY,99999,H4sIAAAAAAAAAG1TXU8TQRS9paC0kGA06pNw/UBBqPRjsQtvhVYgQUjaijHGkNndu+2m+0FmpmqNL/4EE5+Mz/Z/9Kfw7G8w3tltSDQ+9G7nzplzzz1zpwhQgFxQBIDcDMwEXq6Ug7n9ZBjrXBHyWvRysPAqdiSJgXBCyuWhcBh49CIUPcWHfhfhuheoi1CMCjB7nEia5+wK3J2M6/sy0NgUkejRLk7G7sZ2eRVu8sYhiVD3TU5sVGrlNNckn2JFWdIqww3OdS6IvCxTq8IdzhzFmsIw6FHsTqHbsMxf+y3/Lr9/4/junyXLWZiMnT1J9InwDB4yzes+xThKhtgX7yl+otEhTnipVA+DGB4wSPcJQ6G0KbOtONYTiRF3uGmOSljmTCRigW6itEIhCT1y2SjFHM4IFnnfHF3l77NUQ9oPHp3BPU4dSBFrQ+tvVMuXP35iuptiwYi0uwFJhu8l8VDt4uHIkwI7WgYDwrXylrWedtIZui4p5Q9DFiCTD9gPmLRnuI3lFXjMkXFKC3eAic/J539RXX75mtbMc4SnHFrC7f8PhVcskRiQgjVeGx+yugr9cGQq1sqrBumzcSQ3UcQerPDa4ytPZ6CS7Rsfp4ZPa69zaGSiy1e1VGo1OtyYH0gydnlVuMWREfRRs8Ks/JTEeH2cKMIKZlqFzzIMqZXdoI9xog1BvSeCOIh7KDKkcR3TG7O7/UBhoClCV8Q8GijJTyRPxn24zcZMxuFx66B10my03+De6Wm3k4c5NwkTCZ+bv+Zh9kREBEuM7BJrk3yDiVZQhKWWEdzQbKkz1KSKUBRXizxcc9IRZR1zTKjMNPD/WZg3zxIWu612+7R9Pi1YcBKlzjWPiMFw0eGQQY+qNaoK298pVanslqz6jlWyXadSqgvX3rE92/WJH2hBBxFx19EFLO1sVaytag2tXauGjZcAM3Ate7NMDH8A4+nRux8EAAA=
